iter	Passed	Remaining
447	1071	1319
448	1072	1316
449	1074	1313
450	1076	1309
451	1077	1306
452	1078	1302
453	1080	1299
454	1081	1295
455	1083	1292
456	1084	1288
457	1085	1284
458	1086	1281
459	1089	1279
460	1090	1275
461	1092	1271
462	1093	1268
463	1094	1264
464	1095	1260
465	1097	1257
466	1098	1253
467	1099	1249
468	1100	1246
469	1101	1242
470	1104	1240
471	1105	1236
472	1107	1233
473	1108	1229
474	1109	1226
475	1110	1222
476	1111	1219
477	1113	1215
478	1114	1211
479	1115	1208
480	1116	1204
481	1118	1201
482	1120	1199
483	1121	1195
484	1122	1192
485	1124	1188
486	1125	1185
487	1126	1181
488	1127	1178
489	1128	1174
490	1130	1171
491	1131	1168
492	1132	1164
493	1134	1162
494	1135	1158
495	1137	1155
496	1138	1152
497	1139	1148
498	1140	1145
499	1141	1141
500	1143	1138
501	1144	1135
502	1145	1131
503	1146	1128
504	1149	1126
505	1150	1123
506	1152	1120
507	1153	1117
508	1154	1113
509	1155	1110
510	1157	1107
511	1158	1103
512	1159	1100
513	1160	1097
514	1161	1094
515	1164	1092
516	1167	1090
517	1169	1088
518	1172	1086
519	1173	1083
520	1175	1080
521	1176	1077
522	1177	1074
523	1181	1073
524	1183	1070
525	1184	1067
526	1186	1064
527	1187	1061
528	1189	1058
529	1190	1055
530	1191	1052
531	1192	1049
532	1195	1047
533	1196	1044
534	1198	1041
535	1199	1038
536	1200	1035
537	1201	1032
538	1203	1028
539	1204	1025
540	1205	1022
541	1206	1019
542	1207	1016
543	1210	1014
544	1211	1011
545	1212	1008
546	1214	1005
547	1215	1002
548	1216	999
549	1217	996
550	1218	993
551	1220	990
552	1221	987
553	1222	984
554	1224	981
555	1226	979
556	1227	976
557	1228	973
558	1229	970
559	1231	967
560	1232	964
561	1233	961
562	1234	958
563	1235	955
564	1237	952
565	1238	949
566	1240	947
567	1242	944
568	1243	941
569	1244	938
570	1245	935
571	1247	933
572	1248	930
573	1249	927
574	1250	924
575	1251	921
576	1253	918
577	1255	916
578	1257	914
579	1258	911
580	1259	908
581	1260	905
582	1262	902
583	1263	899
584	1264	897
585	1265	894
586	1267	891
587	1268	888
588	1270	886
589	1272	883
590	1273	881
591	1275	878
592	1276	876
593	1278	873
594	1279	871
595	1281	868
596	1282	865
597	1283	862
598	1286	861
599	1287	858
600	1289	855
601	1290	853
602	1291	850
603	1292	847
604	1293	844
605	1295	842
606	1296	839
607	1297	836
608	1298	833
609	1301	832
610	1303	829
611	1304	827
612	1306	824
613	1307	821
614	1308	819
615	1309	816
616	1311	813
617	1312	811
618	1313	808
619	1314	805
620	1316	803
621	1317	800
622	1319	798
623	1320	795
624	1321	792
625	1322	790
626	1324	787
627	1325	785
628	1326	782
629	1327	779
630	1329	777
631	1331	775
632	1333	773
633	1334	770
634	1336	768
635	1337	765
636	1338	762
637	1339	760
638	1341	757
639	1342	755
640	1343	752
641	1345	750
642	1347	748
643	1348	745
644	1349	743
645	1351	740
646	1352	737
647	1353	735
648	1354	732
649	1356	730
650	1357	727
651	1358	725
652	1361	723
653	1362	720
654	1364	718
655	1365	716
656	1367	713
657	1368	711
658	1370	708
659	1371	706
660	1372	703
661	1374	701
662	1376	699
663	1377	697
664	1378	694
665	1380	692
666	1381	689
667	1382	687
668	1384	684
669	1385	682
670	1386	679
671	1387	677
672	1390	675
673	1392	673
674	1393	671
675	1395	668
676	1396	666
677	1397	663
678	1399	661
679	1400	659
680	1401	656
681	1402	654
682	1405	652
683	1406	649
684	1407	647
685	1409	645
686	1410	642
687	1411	640
688	1412	637
689	1414	635
690	1415	632
691	1416	630
692	1417	628
693	1419	625
694	1421	623
695	1422	621
696	1424	619
697	1425	616
698	1426	614
699	1427	611
700	1429	609
701	1430	607
702	1431	604
703	1432	602
704	1434	600
705	1436	598
706	1437	595
707	1438	593
708	1439	590
709	1441	588
710	1442	586
711	1443	583
712	1444	581
713	1446	579
714	1447	576
715	1448	574
716	1451	572
717	1452	570
718	1453	568
719	1455	565
720	1456	563
721	1457	561
722	1458	558
723	1459	556
724	1461	554
725	1462	551
726	1463	549
727	1466	547
728	1467	545
729	1469	543
730	1470	541
731	1472	539
732	1473	536
733	1475	534
734	1476	532
735	1477	530
736	1479	527
737	1481	525
738	1482	523
739	1484	521
740	1485	519
741	1486	516
742	1487	514
743	1489	512
744	1490	510
745	1491	507
746	1492	505
747	1494	503
748	1496	501
749	1497	499
750	1499	497
751	1500	494
752	1501	492
753	1502	490
754	1504	488
755	1505	485
756	1506	483
757	1507	481
758	1508	479
759	1510	476
760	1512	475
761	1513	472
762	1515	470
763	1516	468
764	1517	466
765	1518	463
766	1520	461
767	1521	459
768	1522	457
769	1523	455
770	1524	452
771	1527	451
772	1528	448
773	1529	446
774	1531	444
775	1532	442
776	1533	440
777	1535	438
778	1536	435
779	1537	433
780	1538	431
781	1539	429
782	1543	427
783	1546	426
784	1548	424
785	1552	422
786	1554	420
787	1555	418
788	1559	416
789	1560	414
790	1562	412
791	1563	410
792	1565	408
793	1567	406
794	1568	404
795	1569	402
796	1570	400
797	1575	398
798	1576	396
799	1577	394
800	1578	392
801	1580	390
802	1581	387
803	1582	385
804	1583	383
805	1585	381
806	1586	379
807	1588	377
808	1589	375
809	1591	373
810	1592	371
811	1593	368
812	1594	366
813	1596	364
814	1597	362
815	1598	360
816	1599	358
817	1602	356
818	1604	354
819	1605	352
820	1606	350
821	1608	348
822	1609	346
823	1610	344
824	1611	341
825	1613	339
826	1614	337
827	1616	335
828	1618	333
829	1620	331
830	1621	329
831	1622	327
832	1623	325
833	1625	323
834	1626	321
835	1627	319
836	1628	317
837	1630	315
838	1632	313
839	1634	311
840	1635	309
841	1636	307
842	1637	305
843	1639	302
844	1640	300
845	1641	298
846	1642	296
847	1644	294
848	1645	292
849	1648	290
850	1649	288
851	1650	286
852	1652	284
853	1653	282
854	1654	280
855	1655	278
856	1656	276
